Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
HM3-IT-MF_S3_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 0.0)	(122.0, 0.0)	(127.0, 0.0)	(132.0, 0.0)	(137.0, 0.0)	(142.0, 0.0)	(147.0, 0.0)	(152.0, 0.0)	(157.0, 0.0)	(162.0, 0.0)	(167.0, 0.0)	(172.0, 0.0)	(177.0, 0.0)	(182.0, 0.0)	(187.0, 0.0)	(192.0, 0.0)	(197.0, 0.0)	(202.0, 0.0)	(207.0, 0.0)	(212.0, 0.002030121934198673)	(217.0, 1.7484425158286068)	(222.0, 17.771941177216956)	(227.0, 19.815005138746148)	(232.0, 22.733559184398512)	(237.0, 22.733559184398512)	(240.0, 22.733559184398512)
HM3-IT-MF_S3_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0012688262088741706)	(12.0, 0.006597896286145688)	(17.0, 0.023853932726834406)	(22.0, 0.02664535038635758)	(27.0, 0.028929237562331088)	(32.0, 0.03578089909025161)	(37.0, 0.04110996916752312)	(42.0, 0.04846916117899332)	(47.0, 0.05024551787141714)	(52.0, 0.055067057465139)	(57.0, 0.06648649334500653)	(62.0, 0.0789209901919734)	(67.0, 0.08526512123634425)	(72.0, 0.08780277365409259)	(77.0, 0.08881783462119193)	(82.0, 0.08881783462119193)	(87.0, 0.08881783462119193)	(92.0, 0.09541573090733761)	(97.0, 0.11774707218352302)	(102.0, 0.13500310862421172)	(107.0, 0.14464618781165545)	(112.0, 0.14718384022940378)	(117.0, 0.14718384022940378)	(122.0, 0.15073655361425145)	(127.0, 0.1583495108674965)	(132.0, 0.16240975473589386)	(137.0, 0.16393234618654284)	(142.0, 0.1720528339233375)	(147.0, 0.18068085214368187)	(152.0, 0.18550239173740374)	(157.0, 0.18651745270450307)	(162.0, 0.18651745270450307)	(167.0, 0.18677121794627788)	(172.0, 0.18829380939692691)	(177.0, 0.1926078185070991)	(182.0, 0.19413040995774808)	(187.0, 0.1956530014083971)	(192.0, 0.19742935810082093)	(197.0, 0.19793688858437058)	(202.0, 0.20199713245276799)	(207.0, 0.20402725438696662)	(212.0, 0.20631114156294011)	(217.0, 0.2068186720464898)	(222.0, 0.208087498255364)	(227.0, 0.2136703335744103)	(232.0, 0.22052199510233086)	(237.0, 0.22331341276185404)	(240.0, 0.223313412761854)
HM3-IT-MF_S3_L001_R2_001 - polyg	(1.0, 0.6242624947660919)	(2.0, 0.6585208024056944)	(3.0, 0.6597896286145687)	(4.0, 0.6597896286145687)	(5.0, 0.6610584548234428)	(6.0, 0.6610584548234428)	(7.0, 0.6610584548234428)	(8.0, 0.6610584548234428)	(9.0, 0.6610584548234428)	(12.0, 0.6610584548234428)	(17.0, 0.6610584548234428)	(22.0, 0.6610584548234428)	(27.0, 0.6610584548234428)	(32.0, 0.662327281032317)	(37.0, 0.663849872482966)	(42.0, 0.6648649334500654)	(47.0, 0.6648649334500654)	(52.0, 0.6648649334500654)	(57.0, 0.6648649334500654)	(62.0, 0.6648649334500654)	(67.0, 0.6648649334500654)	(72.0, 0.6648649334500654)	(77.0, 0.6648649334500654)	(82.0, 0.6656262291753899)	(87.0, 0.6661337596589395)	(92.0, 0.6661337596589395)	(97.0, 0.6661337596589395)	(102.0, 0.6661337596589395)	(107.0, 0.6661337596589395)	(112.0, 0.666895055384264)	(117.0, 0.6676563511095885)	(122.0, 0.6686714120766879)	(127.0, 0.6686714120766879)	(132.0, 0.6686714120766879)	(137.0, 0.6686714120766879)	(142.0, 0.6686714120766879)	(147.0, 0.6686714120766879)	(152.0, 0.6686714120766879)	(157.0, 0.6686714120766879)	(162.0, 0.6686714120766879)	(167.0, 0.6686714120766879)	(172.0, 0.6686714120766879)	(177.0, 0.6686714120766879)	(182.0, 0.6696864730437871)	(187.0, 0.669940238285562)	(192.0, 0.669940238285562)	(197.0, 0.6704477687691117)	(202.0, 0.6712090644944362)	(207.0, 0.6712090644944362)	(212.0, 0.6712090644944362)	(217.0, 0.6712090644944362)	(222.0, 0.6712090644944362)	(227.0, 0.6722241254615355)	(232.0, 0.6724778907033103)	(237.0, 0.6724778907033103)	(240.0, 0.6724778907033103)
HM4-IT-MF_S4_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.057327530206573996)	(52.0, 0.14183015027499893)	(57.0, 0.14183015027499893)	(62.0, 0.14183015027499893)	(67.0, 0.14183015027499893)	(72.0, 0.14183015027499893)	(77.0, 0.14183015027499893)	(82.0, 0.14183015027499893)	(87.0, 0.14183015027499893)	(92.0, 0.14183015027499893)	(97.0, 0.14183015027499893)	(102.0, 0.14204668485557143)	(107.0, 0.1423714867264302)	(112.0, 0.1423714867264302)	(117.0, 0.1423714867264302)	(122.0, 0.1423714867264302)	(127.0, 0.14307522411329093)	(132.0, 0.1434541596292928)	(137.0, 0.1434541596292928)	(142.0, 0.1434541596292928)	(147.0, 0.1437789615001516)	(152.0, 0.14453683253215538)	(157.0, 0.14540297085444548)	(162.0, 0.14589017366073362)	(167.0, 0.14599844095101988)	(172.0, 0.1464315101121649)	(177.0, 0.1464315101121649)	(182.0, 0.1467563119830237)	(187.0, 0.14697284656359622)	(192.0, 0.14924645965960764)	(197.0, 0.1521155428521935)	(202.0, 0.1524403447230523)	(207.0, 0.1539019531419168)	(212.0, 0.17858689532718375)	(217.0, 13.923769000909445)	(222.0, 35.86922394006323)	(227.0, 37.11527218396778)	(232.0, 37.11635485687064)	(237.0, 37.11646312416093)	(240.0, 37.11646312416093)
HM4-IT-MF_S4_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0)	(107.0, 0.0)	(112.0, 0.0)	(117.0, 0.00671257199774804)	(122.0, 0.12694339786063835)	(127.0, 0.14280455588757524)	(132.0, 0.14529470356415922)	(137.0, 0.14567363908016112)	(142.0, 0.14686457927330995)	(147.0, 0.14697284656359622)	(152.0, 0.14735178207959812)	(157.0, 0.14794725217617252)	(162.0, 0.1484885886276038)	(167.0, 0.14875925685331948)	(172.0, 0.1491923260144645)	(177.0, 0.1503291325624702)	(182.0, 0.15119527088476029)	(187.0, 0.15130353817504655)	(192.0, 0.15135767182018967)	(197.0, 0.1524403447230523)	(202.0, 0.15368541856134427)	(207.0, 0.15390195314191676)	(212.0, 0.1541184877224893)	(217.0, 0.15503875968992248)	(222.0, 0.15628383352821446)	(227.0, 0.15682516997964577)	(232.0, 0.15736650643107705)	(237.0, 0.15769130830193584)	(240.0, 0.15779957559222207)
HM4-IT-MF_S4_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.05743579749686025)	(52.0, 0.14210081850071457)	(57.0, 0.14210081850071457)	(62.0, 0.14210081850071457)	(67.0, 0.14210081850071457)	(72.0, 0.14210081850071457)	(77.0, 0.14210081850071457)	(82.0, 0.14210081850071457)	(87.0, 0.14210081850071457)	(92.0, 0.14210081850071457)	(97.0, 0.14210081850071457)	(102.0, 0.14231735308128707)	(107.0, 0.14264215495214586)	(112.0, 0.14264215495214586)	(117.0, 0.14264215495214586)	(122.0, 0.14264215495214586)	(127.0, 0.14334589233900658)	(132.0, 0.14372482785500845)	(137.0, 0.14372482785500845)	(142.0, 0.14372482785500845)	(147.0, 0.14404962972586724)	(152.0, 0.14480750075787102)	(157.0, 0.1458360400155905)	(162.0, 0.1464315101121649)	(167.0, 0.14653977740245117)	(172.0, 0.14697284656359622)	(177.0, 0.14697284656359622)	(182.0, 0.14729764843445498)	(187.0, 0.1475141830150275)	(192.0, 0.14957126153046643)	(197.0, 0.1521155428521935)	(202.0, 0.1526568793036248)	(207.0, 0.1544974232384912)	(212.0, 0.175771945779741)	(217.0, 14.511660387163829)	(222.0, 38.616614698367336)	(227.0, 39.81892295699623)	(232.0, 39.81984322896366)	(237.0, 39.819897362608806)	(240.0, 39.819897362608806)
HM4-IT-MF_S4_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.007253908449179334)	(17.0, 0.027499891732709714)	(22.0, 0.0295028366030055)	(27.0, 0.03361699363388333)	(32.0, 0.04016716469620199)	(37.0, 0.04249491143735654)	(42.0, 0.04433545537222295)	(47.0, 0.04595946472651683)	(52.0, 0.049207483435104594)	(57.0, 0.06625958165519034)	(62.0, 0.07703217703867307)	(67.0, 0.07990126023125894)	(72.0, 0.08022606210211772)	(77.0, 0.0803884630375471)	(82.0, 0.08082153219869212)	(87.0, 0.08239140790784288)	(92.0, 0.08710103503529514)	(97.0, 0.10431553419081027)	(102.0, 0.11719934173487505)	(107.0, 0.12142176605603913)	(112.0, 0.12391191373262309)	(117.0, 0.12504872028062883)	(122.0, 0.12678099692520897)	(127.0, 0.12954181282750854)	(132.0, 0.1321943614395219)	(137.0, 0.13441384089039018)	(142.0, 0.14464509982244164)	(147.0, 0.15200727556190724)	(152.0, 0.15460569052877743)	(157.0, 0.15541769520592438)	(162.0, 0.15736650643107705)	(167.0, 0.1583950456887965)	(172.0, 0.1590987830756572)	(177.0, 0.15985665410766098)	(182.0, 0.16093932701052358)	(187.0, 0.161534797107098)	(192.0, 0.16185959897795676)	(197.0, 0.16272573730024684)	(202.0, 0.1653782859122602)	(207.0, 0.16792256723398727)	(212.0, 0.17095405136200253)	(217.0, 0.17344419903858646)	(222.0, 0.17674635139231734)	(227.0, 0.18724827855008447)	(232.0, 0.1923368411935386)	(237.0, 0.1926616430643974)	(240.0, 0.19298644493525616)
HM4-IT-MF_S4_L001_R2_001 - polyg	(1.0, 0.49045082499675197)	(2.0, 0.5156229699883071)	(3.0, 0.5164349746654541)	(4.0, 0.5177883157940323)	(5.0, 0.5188709886968949)	(6.0, 0.5188709886968949)	(7.0, 0.5194123251483261)	(8.0, 0.5199536615997575)	(9.0, 0.5199536615997575)	(12.0, 0.5207656662769045)	(17.0, 0.5223896756311983)	(22.0, 0.5228227447923434)	(27.0, 0.523526482179204)	(32.0, 0.523959551340349)	(37.0, 0.524338486856351)	(42.0, 0.525637694339786)	(47.0, 0.5264496990169331)	(52.0, 0.5264496990169331)	(57.0, 0.5264496990169331)	(62.0, 0.5267745008877919)	(67.0, 0.5270993027586506)	(72.0, 0.5278030401455113)	(77.0, 0.5283985102420857)	(82.0, 0.5287233121129444)	(87.0, 0.5291563812740895)	(92.0, 0.5291563812740895)	(97.0, 0.5292646485643757)	(102.0, 0.530239054176952)	(107.0, 0.531051058854099)	(112.0, 0.5317547962409597)	(117.0, 0.5324585336278204)	(122.0, 0.5375470962712745)	(127.0, 0.6358537958511975)	(132.0, 0.6491165389112641)	(137.0, 0.6616755445844702)	(142.0, 0.6656273006799186)	(147.0, 0.6681715820016457)	(152.0, 0.6699038586462258)	(157.0, 0.6714196007102334)	(162.0, 0.6734766792256723)	(167.0, 0.6773743016759777)	(172.0, 0.6792689792559872)	(177.0, 0.6806764540297084)	(182.0, 0.6824628643194319)	(187.0, 0.6828959334805769)	(192.0, 0.6836538045125808)	(197.0, 0.6846823437703001)	(202.0, 0.6852778138668747)	(207.0, 0.6861439521891646)	(212.0, 0.6868476895760252)	(217.0, 0.6876596942531723)	(222.0, 0.6884175652851761)	(227.0, 0.6894461045428956)	(232.0, 0.6906370447360444)	(237.0, 0.6924775886709107)	(240.0, 0.6929106578320557)
HM5-IT-MF_S5_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.025060809316724404)	(52.0, 0.06265202329181101)	(57.0, 0.06265202329181101)	(62.0, 0.06265202329181101)	(67.0, 0.06265202329181101)	(72.0, 0.06265202329181101)	(77.0, 0.06265202329181101)	(82.0, 0.06265202329181101)	(87.0, 0.06265202329181101)	(92.0, 0.06265202329181101)	(97.0, 0.06265202329181101)	(102.0, 0.06265202329181101)	(107.0, 0.06265202329181101)	(112.0, 0.06265202329181101)	(117.0, 0.06265202329181101)	(122.0, 0.06265202329181101)	(127.0, 0.06265202329181101)	(132.0, 0.06265202329181101)	(137.0, 0.06265202329181101)	(142.0, 0.06265202329181101)	(147.0, 0.06265202329181101)	(152.0, 0.06265202329181101)	(157.0, 0.06265202329181101)	(162.0, 0.06265202329181101)	(167.0, 0.06265202329181101)	(172.0, 0.06265202329181101)	(177.0, 0.06265202329181101)	(182.0, 0.06265202329181101)	(187.0, 0.06265202329181101)	(192.0, 0.06560035379966093)	(197.0, 0.07002284956143584)	(202.0, 0.07075993218839832)	(207.0, 0.0759195105771357)	(212.0, 0.19532689614505788)	(217.0, 26.417778432962336)	(222.0, 53.678042308542786)	(227.0, 54.59571017911107)	(232.0, 54.676789268076945)	(237.0, 54.676789268076945)	(240.0, 54.67678926807695)
HM5-IT-MF_S5_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.02653497457064937)	(52.0, 0.06633743642662343)	(57.0, 0.06633743642662343)	(62.0, 0.06633743642662343)	(67.0, 0.06633743642662343)	(72.0, 0.06633743642662343)	(77.0, 0.06633743642662343)	(82.0, 0.06633743642662343)	(87.0, 0.06633743642662343)	(92.0, 0.06633743642662343)	(97.0, 0.06633743642662343)	(102.0, 0.06633743642662343)	(107.0, 0.06633743642662343)	(112.0, 0.06633743642662343)	(117.0, 0.06633743642662343)	(122.0, 0.06633743642662343)	(127.0, 0.06633743642662343)	(132.0, 0.06633743642662343)	(137.0, 0.06633743642662343)	(142.0, 0.06633743642662343)	(147.0, 0.06633743642662343)	(152.0, 0.06633743642662343)	(157.0, 0.06633743642662343)	(162.0, 0.06633743642662343)	(167.0, 0.06633743642662343)	(172.0, 0.06633743642662343)	(177.0, 0.06633743642662343)	(182.0, 0.06633743642662343)	(187.0, 0.06633743642662343)	(192.0, 0.06928576693447336)	(197.0, 0.07370826269624825)	(202.0, 0.07444534532321073)	(207.0, 0.07886784108498562)	(212.0, 0.190904400383283)	(217.0, 26.069875433036042)	(222.0, 55.46325643104592)	(227.0, 56.324168939338094)	(232.0, 56.38682096262992)	(237.0, 56.38682096262992)	(240.0, 56.38682096262991)
HM5-IT-MF_S5_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.00589666101569986)	(17.0, 0.023586644062799443)	(22.0, 0.027272057197611853)	(27.0, 0.0294833050784993)	(32.0, 0.0294833050784993)	(37.0, 0.0294833050784993)	(42.0, 0.0294833050784993)	(47.0, 0.0294833050784993)	(52.0, 0.0294833050784993)	(57.0, 0.03832829660204909)	(62.0, 0.04938453600648633)	(67.0, 0.05159578388737378)	(72.0, 0.05675536227611115)	(77.0, 0.0589666101569986)	(82.0, 0.0589666101569986)	(87.0, 0.0589666101569986)	(92.0, 0.0589666101569986)	(97.0, 0.06854868430751088)	(102.0, 0.0847645021006855)	(107.0, 0.0847645021006855)	(112.0, 0.0847645021006855)	(117.0, 0.0884499152354979)	(122.0, 0.09066116311638535)	(127.0, 0.09213532837031031)	(132.0, 0.09508365887816024)	(137.0, 0.09950615463993513)	(142.0, 0.10613989828259748)	(147.0, 0.11129947667133486)	(152.0, 0.11424780717918478)	(157.0, 0.11424780717918478)	(162.0, 0.11424780717918478)	(167.0, 0.11424780717918478)	(172.0, 0.11424780717918478)	(177.0, 0.1179332203139972)	(182.0, 0.1179332203139972)	(187.0, 0.1179332203139972)	(192.0, 0.1179332203139972)	(197.0, 0.1179332203139972)	(202.0, 0.1179332203139972)	(207.0, 0.1179332203139972)	(212.0, 0.12088155082184712)	(217.0, 0.1216186334488096)	(222.0, 0.12530404658362201)	(227.0, 0.14815360801945898)	(232.0, 0.15478735166212132)	(237.0, 0.15478735166212132)	(240.0, 0.15478735166212132)
HM5-IT-MF_S5_L001_R2_001 - polyg	(1.0, 0.527014078278175)	(2.0, 0.5380703176826123)	(3.0, 0.5380703176826123)	(4.0, 0.5380703176826123)	(5.0, 0.5380703176826123)	(6.0, 0.5380703176826123)	(7.0, 0.5380703176826123)	(8.0, 0.5380703176826123)	(9.0, 0.5380703176826123)	(12.0, 0.5380703176826123)	(17.0, 0.5380703176826123)	(22.0, 0.5380703176826123)	(27.0, 0.5380703176826123)	(32.0, 0.5380703176826123)	(37.0, 0.5380703176826123)	(42.0, 0.5380703176826123)	(47.0, 0.5380703176826123)	(52.0, 0.5380703176826123)	(57.0, 0.5380703176826123)	(62.0, 0.5388074003095747)	(67.0, 0.5417557308174247)	(72.0, 0.5417557308174247)	(77.0, 0.5417557308174247)	(82.0, 0.5417557308174247)	(87.0, 0.5417557308174247)	(92.0, 0.5417557308174247)	(97.0, 0.5417557308174247)	(102.0, 0.5417557308174247)	(107.0, 0.5417557308174247)	(112.0, 0.5417557308174247)	(117.0, 0.5417557308174247)	(122.0, 0.5424928134443872)	(127.0, 0.5933515147047984)	(132.0, 0.5970369278396108)	(137.0, 0.6014594236013857)	(142.0, 0.6044077541092356)	(147.0, 0.6044077541092356)	(152.0, 0.6044077541092356)	(157.0, 0.6073560846170857)	(162.0, 0.608093167244048)	(167.0, 0.608093167244048)	(172.0, 0.608093167244048)	(177.0, 0.608093167244048)	(182.0, 0.608093167244048)	(187.0, 0.608093167244048)	(192.0, 0.608093167244048)	(197.0, 0.6088302498710105)	(202.0, 0.6154639935136729)	(207.0, 0.6154639935136729)	(212.0, 0.6154639935136729)	(217.0, 0.6154639935136729)	(222.0, 0.6154639935136729)	(227.0, 0.6154639935136729)	(232.0, 0.6154639935136729)	(237.0, 0.6191494066484853)	(240.0, 0.6191494066484853)
MRG1-IT-MF_S6_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.047915388436030035)	(52.0, 0.1081017909837263)	(57.0, 0.1081017909837263)	(62.0, 0.1081017909837263)	(67.0, 0.1081017909837263)	(72.0, 0.1081017909837263)	(77.0, 0.1081017909837263)	(82.0, 0.1081017909837263)	(87.0, 0.1081017909837263)	(92.0, 0.1081017909837263)	(97.0, 0.1081017909837263)	(102.0, 0.1081017909837263)	(107.0, 0.1081017909837263)	(112.0, 0.1081017909837263)	(117.0, 0.1081017909837263)	(122.0, 0.1081017909837263)	(127.0, 0.1081017909837263)	(132.0, 0.1081017909837263)	(137.0, 0.1081017909837263)	(142.0, 0.1081017909837263)	(147.0, 0.1081017909837263)	(152.0, 0.1081017909837263)	(157.0, 0.1081017909837263)	(162.0, 0.1081017909837263)	(167.0, 0.1081017909837263)	(172.0, 0.1081017909837263)	(177.0, 0.1081017909837263)	(182.0, 0.1081017909837263)	(187.0, 0.1081017909837263)	(192.0, 0.1081017909837263)	(197.0, 0.1081017909837263)	(202.0, 0.1081017909837263)	(207.0, 0.1081017909837263)	(212.0, 0.12212580711134484)	(217.0, 20.872995003944254)	(222.0, 54.68606655564321)	(227.0, 57.27349753118883)	(232.0, 57.27349753118883)	(237.0, 57.27349753118883)	(240.0, 57.27349753118883)
MRG1-IT-MF_S6_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.3687147573553043)	(82.0, 0.8531276477634616)	(87.0, 0.8876033540771905)	(92.0, 0.9203260583749671)	(97.0, 0.9261693984281415)	(102.0, 0.9314284044759985)	(107.0, 0.9390247465451251)	(112.0, 0.9436994185876648)	(117.0, 0.9542174306833786)	(122.0, 1.044789201507582)	(127.0, 1.0576445496245654)	(132.0, 1.0599818856458352)	(137.0, 1.062319221667105)	(142.0, 1.0658252256990095)	(147.0, 1.066409559704327)	(152.0, 1.067578227714962)	(157.0, 1.0763432377947235)	(162.0, 1.0780962398106757)	(167.0, 1.0780962398106757)	(172.0, 1.0798492418266281)	(177.0, 1.081017909837263)	(182.0, 1.081017909837263)	(187.0, 1.081017909837263)	(192.0, 1.081017909837263)	(197.0, 1.081017909837263)	(202.0, 1.081017909837263)	(207.0, 1.081017909837263)	(212.0, 1.081017909837263)	(217.0, 1.081017909837263)	(222.0, 1.081017909837263)	(227.0, 1.081017909837263)	(232.0, 1.081017909837263)	(237.0, 1.081017909837263)	(240.0, 1.081017909837263)
MRG1-IT-MF_S6_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.047915388436030035)	(52.0, 0.1081017909837263)	(57.0, 0.1081017909837263)	(62.0, 0.1081017909837263)	(67.0, 0.1081017909837263)	(72.0, 0.1081017909837263)	(77.0, 0.1081017909837263)	(82.0, 0.1081017909837263)	(87.0, 0.1081017909837263)	(92.0, 0.1081017909837263)	(97.0, 0.1081017909837263)	(102.0, 0.1081017909837263)	(107.0, 0.1081017909837263)	(112.0, 0.1081017909837263)	(117.0, 0.1081017909837263)	(122.0, 0.1081017909837263)	(127.0, 0.1081017909837263)	(132.0, 0.1081017909837263)	(137.0, 0.1081017909837263)	(142.0, 0.1081017909837263)	(147.0, 0.1081017909837263)	(152.0, 0.1081017909837263)	(157.0, 0.1081017909837263)	(162.0, 0.1081017909837263)	(167.0, 0.1081017909837263)	(172.0, 0.1081017909837263)	(177.0, 0.1081017909837263)	(182.0, 0.1081017909837263)	(187.0, 0.1081017909837263)	(192.0, 0.1081017909837263)	(197.0, 0.1081017909837263)	(202.0, 0.1081017909837263)	(207.0, 0.1081017909837263)	(212.0, 0.1273848131592018)	(217.0, 23.33362550033599)	(222.0, 60.70236947439156)	(227.0, 63.37861921874544)	(232.0, 63.385631226809245)	(237.0, 63.385631226809245)	(240.0, 63.385631226809245)
MRG1-IT-MF_S6_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.008765010079761592)	(17.0, 0.040903380372220764)	(22.0, 0.045578052414760276)	(27.0, 0.046746720425395155)	(32.0, 0.05259006047856955)	(37.0, 0.05375872848920442)	(42.0, 0.055511730505156745)	(47.0, 0.055511730505156745)	(52.0, 0.06018640254769626)	(57.0, 0.09115610482952055)	(62.0, 0.10167411692523447)	(67.0, 0.1051801209571391)	(72.0, 0.1051801209571391)	(77.0, 0.1051801209571391)	(82.0, 0.1051801209571391)	(87.0, 0.1051801209571391)	(92.0, 0.10576445496245654)	(97.0, 0.11043912700499606)	(102.0, 0.11920413708475763)	(107.0, 0.1215414731060274)	(112.0, 0.1273848131592018)	(117.0, 0.12855348116983667)	(122.0, 0.12855348116983667)	(127.0, 0.12855348116983667)	(132.0, 0.13030648318578902)	(137.0, 0.14783650334531218)	(142.0, 0.1659508575101528)	(147.0, 0.1747158675899144)	(152.0, 0.17763753761650158)	(157.0, 0.17822187162181904)	(162.0, 0.18114354164840624)	(167.0, 0.18114354164840624)	(172.0, 0.18406521167499343)	(177.0, 0.18406521167499343)	(182.0, 0.18406521167499343)	(187.0, 0.18406521167499343)	(192.0, 0.18406521167499343)	(197.0, 0.18406521167499343)	(202.0, 0.18406521167499343)	(207.0, 0.1852338796856283)	(212.0, 0.18698688170158062)	(217.0, 0.18757121570689805)	(222.0, 0.1899085517281678)	(227.0, 0.20101089782919918)	(232.0, 0.2103602419142782)	(237.0, 0.2132819119408654)	(240.0, 0.2132819119408654)
