Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
MRG1-IT-MF_S6_L001_R1_001	(1.0, 34.38145323867123)	(2.0, 35.181844742454786)	(3.0, 36.40590761679376)	(4.0, 35.68571595524001)	(5.0, 35.88310398223624)	(6.0, 35.66462149764806)	(7.0, 36.780231980600114)	(8.0, 36.83352324188506)	(9.0, 36.455751307447336)	(12.0, 36.443293306453974)	(17.0, 36.46906243608847)	(22.0, 35.43825050398808)	(27.0, 36.529541005638826)	(32.0, 36.2617465743419)	(37.0, 35.559219329768894)	(42.0, 36.242773249189234)	(47.0, 35.82006018640255)	(52.0, 36.1981651912233)	(57.0, 36.171063780056684)	(62.0, 36.01705670961521)	(67.0, 35.87820726327168)	(72.0, 35.96233967335729)	(77.0, 35.44003856604435)	(82.0, 35.37271744529173)	(87.0, 35.15224822508546)	(92.0, 35.72439886639203)	(97.0, 35.25354836824729)	(102.0, 35.34857276419201)	(107.0, 35.34406170567096)	(112.0, 35.25786075320653)	(117.0, 35.5908902328571)	(122.0, 34.54996347912466)	(127.0, 35.05381716188974)	(132.0, 35.45152657258889)	(137.0, 34.05957869518217)	(142.0, 35.084734274111085)	(147.0, 34.29568469337073)	(152.0, 34.34859613755223)	(157.0, 33.90609752534549)	(162.0, 34.865731732258155)	(167.0, 33.54590235778771)	(172.0, 33.62187162181903)	(177.0, 34.29615216057498)	(182.0, 33.47383644491192)	(187.0, 32.86743214421362)	(192.0, 33.966102784351534)	(197.0, 31.317795892131944)	(202.0, 31.59469424723172)	(207.0, 31.75703392058901)	(212.0, 32.39024746545125)	(217.0, 30.078061179770355)	(222.0, 32.18667134133871)	(227.0, 30.798112601162824)	(232.0, 29.96819470009057)	(237.0, 28.655663657346537)	(242.0, 30.208659829958805)	(247.0, 26.8855055949981)	(250.5, 28.769217284599875)
MRG1-IT-MF_S6_L001_R2_001	(1.0, 35.94679638881585)	(2.0, 36.51897624682268)	(3.0, 35.252549157098194)	(4.0, 36.531364127735415)	(5.0, 35.6435270400561)	(6.0, 35.95427586408391)	(7.0, 36.011365296403426)	(8.0, 35.934233207701524)	(9.0, 35.97572092207906)	(12.0, 36.100195751891775)	(17.0, 36.28495047769305)	(22.0, 36.057685453004936)	(27.0, 36.06382680340083)	(32.0, 36.175539778537406)	(37.0, 36.13274899932802)	(42.0, 36.09179302889532)	(47.0, 36.25475209629825)	(52.0, 36.007257428346044)	(57.0, 36.231267712624536)	(62.0, 35.91001840652117)	(67.0, 35.79095450959768)	(72.0, 35.5033511555205)	(77.0, 35.24072223683057)	(82.0, 35.44678178046571)	(87.0, 35.62340842025301)	(92.0, 35.54585561106728)	(97.0, 35.51865486311976)	(102.0, 35.979045782569315)	(107.0, 35.36080287492331)	(112.0, 35.24037163642738)	(117.0, 35.17519502147428)	(122.0, 34.51599614339557)	(127.0, 34.85211090659421)	(132.0, 35.28359482280071)	(137.0, 34.877137932041954)	(142.0, 34.72914950185526)	(147.0, 34.105589154760864)	(152.0, 34.24092675373243)	(157.0, 33.2536710783884)	(162.0, 34.17492622783183)	(167.0, 34.00120372805095)	(172.0, 33.64228240862477)	(177.0, 33.38805621293132)	(182.0, 32.99591550530283)	(187.0, 33.547842346685364)	(192.0, 32.33557717591375)	(197.0, 33.02048090688637)	(202.0, 33.0666374499664)	(207.0, 32.23492564349782)	(212.0, 32.02406871767902)	(217.0, 31.37956583983405)	(222.0, 32.59470009057177)	(227.0, 31.99711923335379)	(232.0, 30.487334560434743)	(237.0, 29.405387559529025)	(242.0, 28.13084407047068)	(247.0, 29.09005171355947)	(250.5, 30.178528646974613)
MRG2-IT-MF_S7_L001_R1_001	(1.0, 35.710178742552394)	(2.0, 35.76016130906826)	(3.0, 36.14958806540955)	(4.0, 36.11354132174317)	(5.0, 35.96614834031038)	(6.0, 35.8119705538585)	(7.0, 36.72107741124822)	(8.0, 36.48232420140389)	(9.0, 36.38855617858028)	(12.0, 36.355946133823366)	(17.0, 36.39859961975269)	(22.0, 36.36605623888478)	(27.0, 36.41917946401357)	(32.0, 36.16141301129996)	(37.0, 36.12821088594993)	(42.0, 36.360753828239616)	(47.0, 35.75657812503427)	(52.0, 35.550147691214626)	(57.0, 35.97167179437699)	(62.0, 36.19588350485397)	(67.0, 36.07154570313956)	(72.0, 35.93547856558608)	(77.0, 35.908296803422665)	(82.0, 35.644157809214086)	(87.0, 36.04007727748186)	(92.0, 35.94818022933255)	(97.0, 35.71859330422636)	(102.0, 35.85560031489916)	(107.0, 35.83135702679055)	(112.0, 35.77233536321951)	(117.0, 35.84112811089012)	(122.0, 35.3238106306974)	(127.0, 34.9380179334633)	(132.0, 35.36129547233777)	(137.0, 35.399096528872704)	(142.0, 35.11241856150731)	(147.0, 34.725244342889226)	(152.0, 34.32859201042062)	(157.0, 34.57792591975335)	(162.0, 34.64873788153564)	(167.0, 34.81778259239198)	(172.0, 33.97933200151748)	(177.0, 34.006136147835946)	(182.0, 33.65946813619608)	(187.0, 33.37695929336277)	(192.0, 33.437333532155456)	(197.0, 33.287452496496854)	(202.0, 31.358037713340895)	(207.0, 31.23840848736566)	(212.0, 31.542818172049852)	(217.0, 30.990787664549067)	(222.0, 30.9592152958539)	(227.0, 30.287096370984546)	(232.0, 30.723368105276315)	(237.0, 30.21329856869999)	(242.0, 28.927514423741115)	(247.0, 26.311287906863527)	(250.5, 23.691804508145495)
MRG2-IT-MF_S7_L001_R2_001	(1.0, 35.87852260541776)	(2.0, 36.47173911613332)	(3.0, 35.261333409353554)	(4.0, 36.56633385889623)	(5.0, 35.79651505748664)	(6.0, 36.12396632596449)	(7.0, 36.152412509127906)	(8.0, 36.09299831805254)	(9.0, 36.103945230352245)	(12.0, 36.10735736888156)	(17.0, 36.2007499687513)	(22.0, 35.90418425548059)	(27.0, 36.08427850593945)	(32.0, 36.32248393159056)	(37.0, 35.972298084071056)	(42.0, 36.02693089542322)	(47.0, 36.283760106486795)	(52.0, 36.06107552536188)	(57.0, 36.090662011889854)	(62.0, 35.972337117532376)	(67.0, 35.93546803970887)	(72.0, 35.798404891024276)	(77.0, 35.69829371144623)	(82.0, 35.86276931443646)	(87.0, 35.35531765123822)	(92.0, 35.7504542573884)	(97.0, 35.360666551174404)	(102.0, 35.568626307237196)	(107.0, 35.54569480657604)	(112.0, 35.03914793023974)	(117.0, 35.21013422686335)	(122.0, 35.286958218846145)	(127.0, 34.2670064185922)	(132.0, 34.70902572041955)	(137.0, 34.86503895671014)	(142.0, 34.66668713365013)	(147.0, 34.60710145849187)	(152.0, 34.047605472578994)	(157.0, 33.70415881794399)	(162.0, 33.97895964861113)	(167.0, 33.75041215387955)	(172.0, 34.00619667162991)	(177.0, 33.84732565967646)	(182.0, 33.29641352662937)	(187.0, 33.107750773542335)	(192.0, 33.61782294158796)	(197.0, 33.11687627050627)	(202.0, 32.5126641653089)	(207.0, 32.053659606288335)	(212.0, 32.30829811915731)	(217.0, 30.645016983941456)	(222.0, 30.82042283325914)	(227.0, 31.656673077218272)	(232.0, 30.67405261622871)	(237.0, 29.773901964611127)	(242.0, 29.140662560112627)	(247.0, 29.03173025685333)	(250.5, 27.199796499707247)
MRG3-IT-MF_S8_L001_R1_001	(1.0, 34.819486550424955)	(2.0, 34.86382195741698)	(3.0, 36.10512573381232)	(4.0, 36.06001927626391)	(5.0, 35.92873039516341)	(6.0, 35.159011653377725)	(7.0, 36.617769210549376)	(8.0, 36.540418820643126)	(9.0, 36.29865942346447)	(12.0, 36.262854639446246)	(17.0, 36.39955489354245)	(22.0, 35.89708227459914)	(27.0, 36.4227459914133)	(32.0, 36.17320599316569)	(37.0, 36.00254096206081)	(42.0, 36.325639183387366)	(47.0, 35.97067554543065)	(52.0, 36.138638394812936)	(57.0, 36.2132690791203)	(62.0, 35.9901060194515)	(67.0, 35.88490318058355)	(72.0, 35.94304740208534)	(77.0, 35.490405677735914)	(82.0, 35.62138964338912)	(87.0, 36.072426180671165)	(92.0, 35.869338473670375)	(97.0, 35.23899412950144)	(102.0, 34.944869885218615)	(107.0, 34.905462192236925)	(112.0, 34.922313151669144)	(117.0, 34.91104880399544)	(122.0, 34.833102602295625)	(127.0, 35.33897134846228)	(132.0, 35.18205555068781)	(137.0, 34.85954613160431)	(142.0, 35.20867431875931)	(147.0, 34.476284938228346)	(152.0, 34.718131954788404)	(157.0, 34.46661526329625)	(162.0, 34.13659160606326)	(167.0, 33.732848506089546)	(172.0, 33.953645842460354)	(177.0, 33.738596337509854)	(182.0, 32.85364759484798)	(187.0, 33.18220625602383)	(192.0, 32.72903180583545)	(197.0, 31.94669587312713)	(202.0, 31.580643126259524)	(207.0, 31.762477876106196)	(212.0, 31.570293524927717)	(217.0, 30.014271444843597)	(222.0, 31.89753789538246)	(227.0, 29.886529396302468)	(232.0, 29.749650398668184)	(237.0, 27.88901428195917)	(242.0, 28.49181459738894)	(247.0, 27.076880750021907)	(250.5, 26.46296328747919)
MRG3-IT-MF_S8_L001_R2_001	(1.0, 36.067344256549546)	(2.0, 36.56859721370367)	(3.0, 35.44447559800228)	(4.0, 36.655480592307015)	(5.0, 35.974397616752825)	(6.0, 36.301147813896435)	(7.0, 36.32774905809165)	(8.0, 36.28464032243932)	(9.0, 36.28765442915973)	(12.0, 36.2076649434855)	(17.0, 36.35915184438797)	(22.0, 35.958671690177866)	(27.0, 35.96274774380093)	(32.0, 36.30689915009199)	(37.0, 36.194935599754665)	(42.0, 36.11294839218435)	(47.0, 36.22116183299745)	(52.0, 36.071192499780956)	(57.0, 36.37366862349952)	(62.0, 36.068045211600804)	(67.0, 36.09840357487076)	(72.0, 35.719817751686676)	(77.0, 36.01538946815035)	(82.0, 36.06447034083939)	(87.0, 35.900930517830545)	(92.0, 35.942052045912554)	(97.0, 35.29660212038903)	(102.0, 35.81375273810566)	(107.0, 35.259893104354674)	(112.0, 34.794774380092875)	(117.0, 34.970027162008236)	(122.0, 34.10775431525453)	(127.0, 34.2310523087707)	(132.0, 34.78236046613511)	(137.0, 34.82016297204942)	(142.0, 34.24556207833173)	(147.0, 33.84033295364935)	(152.0, 34.533339174625425)	(157.0, 33.26653465346534)	(162.0, 34.03282922982563)	(167.0, 34.09847367037589)	(172.0, 33.6207657933935)	(177.0, 33.06446333128888)	(182.0, 32.81442915973014)	(187.0, 33.37882414790151)	(192.0, 32.150056952597915)	(197.0, 33.497082274599144)	(202.0, 32.77096994655218)	(207.0, 31.662167703496017)	(212.0, 32.05523876281434)	(217.0, 31.012641724349425)	(222.0, 31.340159467274155)	(227.0, 30.992047664943488)	(232.0, 30.074816437395953)	(237.0, 29.671196004556208)	(242.0, 28.961580653640585)	(247.0, 29.21513011478139)	(250.5, 27.710084990799963)
MRG4-IT-MF_S9_L001_R1_001	(1.0, 35.679140182276946)	(2.0, 35.69695423773216)	(3.0, 36.12871068705448)	(4.0, 35.98774249589808)	(5.0, 36.0439974078619)	(6.0, 35.93385911453665)	(7.0, 36.71977332579591)	(8.0, 36.72735670853613)	(9.0, 36.087953451817945)	(12.0, 36.35009031119445)	(17.0, 36.44085375101686)	(22.0, 36.10764267100528)	(27.0, 36.44410771161084)	(32.0, 36.24521902188151)	(37.0, 36.22978201221614)	(42.0, 36.341756862961375)	(47.0, 35.9491306685786)	(52.0, 35.84368028458367)	(57.0, 36.11528672080742)	(62.0, 36.10407985991424)	(67.0, 35.95829415252251)	(72.0, 36.01731217339749)	(77.0, 35.9706288692487)	(82.0, 35.86289519765053)	(87.0, 36.085628800308854)	(92.0, 35.99770016683442)	(97.0, 35.488835881809536)	(102.0, 35.635374412287845)	(107.0, 35.48839742440747)	(112.0, 35.57193596867374)	(117.0, 35.50478856150123)	(122.0, 35.24903001640767)	(127.0, 34.9695947716023)	(132.0, 35.23024528796172)	(137.0, 35.22011113102707)	(142.0, 34.90051980641692)	(147.0, 34.82738290567651)	(152.0, 34.76251051332607)	(157.0, 34.77849076895501)	(162.0, 34.48314420836378)	(167.0, 34.70122575041019)	(172.0, 34.31588236105175)	(177.0, 34.117057095978055)	(182.0, 33.80579370441353)	(187.0, 33.47419581673032)	(192.0, 33.245492023660155)	(197.0, 33.0519861568795)	(202.0, 31.563122699132737)	(207.0, 31.17084120396542)	(212.0, 31.322663284018365)	(217.0, 30.46760792532436)	(222.0, 30.964529071931832)	(227.0, 30.868170474444003)	(232.0, 31.178372192424888)	(237.0, 29.661177216760656)	(242.0, 28.78310973844224)	(247.0, 27.59180167385939)	(250.5, 24.063989962358846)
MRG4-IT-MF_S9_L001_R2_001	(1.0, 35.95269347966964)	(2.0, 36.53148482634054)	(3.0, 35.196202793442446)	(4.0, 36.60042466943345)	(5.0, 35.83908061825251)	(6.0, 36.1175975843479)	(7.0, 36.195582334854606)	(8.0, 36.11519847780826)	(9.0, 36.161801811739075)	(12.0, 36.13770595778124)	(17.0, 36.28616928867869)	(22.0, 36.04973320280723)	(27.0, 36.1386545700222)	(32.0, 36.334074206847106)	(37.0, 35.990585575027225)	(42.0, 36.10774745956678)	(47.0, 36.33402457016008)	(52.0, 36.14793111530878)	(57.0, 36.1719552718298)	(62.0, 36.13926675582887)	(67.0, 36.08254856811946)	(72.0, 35.85981772305486)	(77.0, 35.97178154342521)	(82.0, 35.92585106236298)	(87.0, 35.5561073806996)	(92.0, 35.81539564575951)	(97.0, 35.497216209135914)	(102.0, 35.690584196230375)	(107.0, 35.475960676713505)	(112.0, 34.97910295476167)	(117.0, 34.7560025921381)	(122.0, 35.065354971252084)	(127.0, 34.24441380451418)	(132.0, 34.69855088449819)	(137.0, 34.691838901374666)	(142.0, 34.59596839797593)	(147.0, 34.46414163001365)	(152.0, 34.2570656445186)	(157.0, 33.63525583575772)	(162.0, 34.261725977911674)	(167.0, 34.0336840073352)	(172.0, 34.17412825568409)	(177.0, 33.65326016517987)	(182.0, 33.45806389344658)	(187.0, 33.31179836474692)	(192.0, 33.25864298812856)	(197.0, 32.92965929929543)	(202.0, 32.63704827167813)	(207.0, 32.01723496077322)	(212.0, 32.220527527679344)	(217.0, 30.690005101548387)	(222.0, 30.60449487776966)	(227.0, 31.382232823638095)	(232.0, 30.998259958360336)	(237.0, 30.240194686116894)	(242.0, 29.45603981965337)	(247.0, 29.348705999145146)	(250.5, 28.22802542501413)
MRG5-IT-MF_S10_L001_R1_001	(1.0, 35.86511053258615)	(2.0, 32.903631469796586)	(3.0, 34.55098618894233)	(4.0, 35.61289326214535)	(5.0, 35.8484313638971)	(6.0, 33.98989542425981)	(7.0, 36.01036932444954)	(8.0, 36.11441556722411)	(9.0, 34.01840003529983)	(12.0, 35.70553766050391)	(17.0, 36.00738648899086)	(22.0, 35.92100781008693)	(27.0, 36.09458588889379)	(32.0, 35.535710188412835)	(37.0, 35.38870405506773)	(42.0, 35.83229934254071)	(47.0, 35.440841900895734)	(52.0, 35.4869258262366)	(57.0, 35.61472885319684)	(62.0, 35.71058553589551)	(67.0, 35.280130609363276)	(72.0, 35.49991616290871)	(77.0, 34.82383620879848)	(82.0, 34.96633278912766)	(87.0, 35.43099324890791)	(92.0, 35.28560208268984)	(97.0, 35.13826060097957)	(102.0, 34.724184794599125)	(107.0, 34.63323478798041)	(112.0, 35.023950933239206)	(117.0, 34.73945197017165)	(122.0, 33.90742620129727)	(127.0, 34.17575784318051)	(132.0, 33.77566076865376)	(137.0, 33.899713188898204)	(142.0, 33.86183647354719)	(147.0, 32.719481092529676)	(152.0, 33.42622777213961)	(157.0, 33.3559281648502)	(162.0, 32.47242642192119)	(167.0, 32.15704010942947)	(172.0, 32.86233067113798)	(177.0, 32.316577681683796)	(182.0, 31.319551692185502)	(187.0, 31.773172130785866)	(192.0, 31.09852181970613)	(197.0, 31.335507214402334)	(202.0, 30.228645810351672)	(207.0, 30.098186471340956)	(212.0, 29.471579226051272)	(217.0, 29.016590919119267)	(222.0, 30.073961964435426)	(227.0, 28.279045139654944)	(232.0, 28.960481842651017)	(237.0, 27.421832943564404)	(242.0, 26.900330935886682)	(247.0, 26.205383223756787)	(250.5, 22.957154833870185)
MRG5-IT-MF_S10_L001_R2_001	(1.0, 36.28420773948727)	(2.0, 36.63354366147465)	(3.0, 35.61271676300578)	(4.0, 36.6815073026519)	(5.0, 36.218373560428894)	(6.0, 36.219432555266295)	(7.0, 36.44746944358646)	(8.0, 36.417023342011206)	(9.0, 36.42584829898954)	(12.0, 36.16214093456294)	(17.0, 36.42431275647532)	(22.0, 36.17465472355822)	(27.0, 36.307329126770505)	(32.0, 36.50562591007369)	(37.0, 36.309067643295236)	(42.0, 36.377699333715746)	(47.0, 36.43087852446719)	(52.0, 36.00916913030049)	(57.0, 36.3500595684596)	(62.0, 36.13690155760491)	(67.0, 35.99162511582756)	(72.0, 35.42163879451088)	(77.0, 36.10327847151745)	(82.0, 36.05749459471385)	(87.0, 35.98622424215682)	(92.0, 35.95257468119843)	(97.0, 35.88454308785244)	(102.0, 35.70377266910824)	(107.0, 35.46874641486123)	(112.0, 35.15171866037153)	(117.0, 35.197661386400746)	(122.0, 34.628981158716854)	(127.0, 34.30529938666549)	(132.0, 34.91635705775934)	(137.0, 34.92828839959405)	(142.0, 34.30384326876407)	(147.0, 34.08606098045272)	(152.0, 34.26659312535851)	(157.0, 33.5237082469223)	(162.0, 33.87818911882805)	(167.0, 33.83485858006442)	(172.0, 33.81449057935843)	(177.0, 33.571107090852934)	(182.0, 32.706005383223754)	(187.0, 32.94486166879936)	(192.0, 32.93504831663945)	(197.0, 33.39706128932621)	(202.0, 32.395137448704936)	(207.0, 31.824771654238184)	(212.0, 32.10083395843445)	(217.0, 30.474482636897147)	(222.0, 30.97970259894983)	(227.0, 30.466910823809734)	(232.0, 30.175025371751314)	(237.0, 29.454088161320215)	(242.0, 29.48253099766139)	(247.0, 28.708079248113666)	(250.5, 24.901557604906678)
WML1-IT-MF_S11_L001_R1_001	(1.0, 34.819146033694835)	(2.0, 35.462860650705956)	(3.0, 36.1093376986563)	(4.0, 35.712570765977766)	(5.0, 35.930905122433664)	(6.0, 35.7240297387627)	(7.0, 36.81126798990519)	(8.0, 36.84046108723825)	(9.0, 36.46586181024487)	(12.0, 36.415374121819795)	(17.0, 36.42818361639725)	(22.0, 35.16394516063024)	(27.0, 36.4858331628129)	(32.0, 36.278466680308306)	(37.0, 36.02987517904645)	(42.0, 36.327003615033085)	(47.0, 35.96730100266012)	(52.0, 36.12715367301003)	(57.0, 36.25717208921628)	(62.0, 36.00073664825046)	(67.0, 35.7841620626151)	(72.0, 35.866271059272904)	(77.0, 35.11951435782007)	(82.0, 34.96963372211991)	(87.0, 35.76004365322966)	(92.0, 34.985116977013845)	(97.0, 34.96309937930564)	(102.0, 34.94629288588773)	(107.0, 35.153522952049656)	(112.0, 34.738530795989355)	(117.0, 34.971134301889364)	(122.0, 34.74891207966714)	(127.0, 34.70299433872178)	(132.0, 34.33835345474388)	(137.0, 33.97830298069709)	(142.0, 34.2296637337153)	(147.0, 34.052820407884866)	(152.0, 33.98461223654594)	(157.0, 33.44897346702135)	(162.0, 33.37228019916786)	(167.0, 33.669026669394995)	(172.0, 33.58967328285929)	(177.0, 33.506336539117385)	(182.0, 32.814105449832894)	(187.0, 32.85115612850419)	(192.0, 33.08957097060228)	(197.0, 31.480472000545667)	(202.0, 30.301084509924287)	(207.0, 31.1085737671373)	(212.0, 31.678998704044744)	(217.0, 30.286597094331903)	(222.0, 31.36112134233681)	(227.0, 30.584523565923195)	(232.0, 30.56631880499284)	(237.0, 28.454211854580176)	(242.0, 28.231239342473224)	(247.0, 27.41040856694632)	(250.5, 25.302366823545462)
WML1-IT-MF_S11_L001_R2_001	(1.0, 36.003887865766316)	(2.0, 36.5531682695587)	(3.0, 34.94338721778869)	(4.0, 36.52950003410409)	(5.0, 35.855603301275494)	(6.0, 36.07475615578746)	(7.0, 36.16281290498602)	(8.0, 36.0942636927904)	(9.0, 36.12243366755337)	(12.0, 36.184421253666194)	(17.0, 36.36584134779346)	(22.0, 36.090785076052114)	(27.0, 36.18533524316213)	(32.0, 36.288738830911946)	(37.0, 36.2004638155651)	(42.0, 36.11510810995157)	(47.0, 36.267130482231764)	(52.0, 36.07003615033081)	(57.0, 36.14123183957438)	(62.0, 36.03301275492804)	(67.0, 35.963563194870744)	(72.0, 35.72042834731601)	(77.0, 35.80868972102858)	(82.0, 35.9557465384353)	(87.0, 35.849682832003275)	(92.0, 35.816444990109815)	(97.0, 35.771270718232046)	(102.0, 36.02199031443967)	(107.0, 35.33599345201556)	(112.0, 35.36865152445263)	(117.0, 34.7236068481004)	(122.0, 34.5154764340768)	(127.0, 34.62484141600164)	(132.0, 35.08648796125776)	(137.0, 34.78523975172225)	(142.0, 34.52654662028511)	(147.0, 34.08433258304345)	(152.0, 34.21350521792511)	(157.0, 33.798035604665436)	(162.0, 34.2207080008185)	(167.0, 34.05247936702817)	(172.0, 33.83265807243708)	(177.0, 33.10012959552555)	(182.0, 33.46798990519064)	(187.0, 32.711124752745384)	(192.0, 32.24564490826001)	(197.0, 32.865029670554534)	(202.0, 33.02164927358298)	(207.0, 32.674619739444786)	(212.0, 32.247977627719806)	(217.0, 31.240256462724233)	(222.0, 31.55387763454062)	(227.0, 32.01511493076871)	(232.0, 30.413709842439125)	(237.0, 28.662424118409383)	(242.0, 28.87627037719119)	(247.0, 29.014617011117934)	(250.5, 26.4739785826342)
WML2-IT-MF_S12_L001_R1_001	(1.0, 35.65232767708369)	(2.0, 35.691706056381136)	(3.0, 36.136872173292076)	(4.0, 36.07266977250315)	(5.0, 35.89468493896011)	(6.0, 35.879246437922944)	(7.0, 36.686333185976125)	(8.0, 36.726969769102595)	(9.0, 36.331043629067906)	(12.0, 36.3268405481688)	(17.0, 36.37484272452137)	(22.0, 35.35420138062366)	(27.0, 36.40591695854729)	(32.0, 36.11819634780835)	(37.0, 36.106253613085315)	(42.0, 36.341707756656575)	(47.0, 36.07243853504268)	(52.0, 36.02855782636787)	(57.0, 36.26213486584827)	(62.0, 36.017784881150746)	(67.0, 35.8832114802598)	(72.0, 36.00745400754922)	(77.0, 35.49944571020505)	(82.0, 35.66466487570986)	(87.0, 35.94082361342538)	(92.0, 35.63741966198524)	(97.0, 35.33430815792158)	(102.0, 35.20431869962934)	(107.0, 35.05107627435645)	(112.0, 34.853177814805996)	(117.0, 35.136457306083585)	(122.0, 34.95159655864251)	(127.0, 35.19235556160098)	(132.0, 35.066657598530966)	(137.0, 34.44656034277553)	(142.0, 35.164858707110554)	(147.0, 34.70158805726528)	(152.0, 34.58294283673955)	(157.0, 34.69646682762607)	(162.0, 34.01694154453021)	(167.0, 34.091155167137074)	(172.0, 34.47075186180161)	(177.0, 33.853742306253615)	(182.0, 33.24945761213316)	(187.0, 33.71732580678069)	(192.0, 32.888706770496825)	(197.0, 32.24060257761757)	(202.0, 32.02658550685211)	(207.0, 32.109028462610944)	(212.0, 32.00452953378447)	(217.0, 30.439208351752985)	(222.0, 32.064936919781005)	(227.0, 30.607977692386168)	(232.0, 30.159968714931818)	(237.0, 28.374162614343522)	(242.0, 29.28273540313531)	(247.0, 27.33046553541674)	(250.5, 26.4075560240759)
WML2-IT-MF_S12_L001_R2_001	(1.0, 35.826877954228586)	(2.0, 36.40776005712925)	(3.0, 34.917230591355796)	(4.0, 36.563845342945555)	(5.0, 35.7804944400993)	(6.0, 36.11354439419186)	(7.0, 36.13707620634543)	(8.0, 36.07824667596151)	(9.0, 36.06688883599143)	(12.0, 36.176304961403744)	(17.0, 36.313020709354916)	(22.0, 36.03361784609107)	(27.0, 36.076437582888424)	(32.0, 36.308504777774004)	(37.0, 36.06703165912877)	(42.0, 36.03953480463835)	(47.0, 36.214690379841535)	(52.0, 35.969728295983955)	(57.0, 35.88884959363416)	(62.0, 35.98197027918523)	(67.0, 35.84743088380318)	(72.0, 35.43091780868501)	(77.0, 35.61193593362125)	(82.0, 35.67479171625803)	(87.0, 35.58947869554868)	(92.0, 35.535294317679465)	(97.0, 35.440915428299384)	(102.0, 35.46123712041351)	(107.0, 35.154072159689875)	(112.0, 34.5838133777672)	(117.0, 33.96190702893868)	(122.0, 33.940497160540005)	(127.0, 34.07525419117897)	(132.0, 34.22596660659027)	(137.0, 33.97127894718945)	(142.0, 33.78485394633931)	(147.0, 33.395558880538644)	(152.0, 33.55647974971945)	(157.0, 32.98042642908151)	(162.0, 33.879028802666035)	(167.0, 33.36037678103853)	(172.0, 33.0206753494066)	(177.0, 33.05791138164383)	(182.0, 32.34879450470976)	(187.0, 32.4522596660659)	(192.0, 31.807297582208314)	(197.0, 32.70005100826334)	(202.0, 32.365171557792365)	(207.0, 31.660971877444148)	(212.0, 31.57034719624579)	(217.0, 30.31822355221546)	(222.0, 30.98277961029687)	(227.0, 31.161369741898188)	(232.0, 29.51295949943891)	(237.0, 28.871139524602984)	(242.0, 28.453341041248684)	(247.0, 28.863229843234603)	(250.5, 27.115312680654267)
WML3-IT-MF_S13_L001_R1_001	(1.0, 36.13783918422952)	(2.0, 32.113551102571144)	(3.0, 32.76826181108366)	(4.0, 36.033661715517326)	(5.0, 35.79431888655056)	(6.0, 33.34377446345604)	(7.0, 35.70316487225628)	(8.0, 36.211943758196846)	(9.0, 33.67581663464178)	(12.0, 35.70007828305934)	(17.0, 35.8265674403473)	(22.0, 35.673543375931516)	(27.0, 35.863321845040204)	(32.0, 35.464915972794095)	(37.0, 34.744333628165634)	(42.0, 35.45184168522077)	(47.0, 34.803609154034625)	(52.0, 35.303559337542325)	(57.0, 35.26465367371215)	(62.0, 35.01490834782078)	(67.0, 34.84988969205274)	(72.0, 34.695517532355304)	(77.0, 34.04117078923557)	(82.0, 34.178239342828974)	(87.0, 34.61246022305589)	(92.0, 35.02695580565468)	(97.0, 34.165565620520326)	(102.0, 34.70862231982188)	(107.0, 34.37395309116418)	(112.0, 33.95580768800643)	(117.0, 33.828202234625515)	(122.0, 33.70868331960838)	(127.0, 33.50243084149206)	(132.0, 33.30425676843464)	(137.0, 33.21857646831569)	(142.0, 32.78571994998018)	(147.0, 32.51783938756214)	(152.0, 32.698659021360086)	(157.0, 32.08758959343642)	(162.0, 31.791789428737)	(167.0, 31.59410538729781)	(172.0, 31.906564593690586)	(177.0, 32.044174012057624)	(182.0, 31.097154359959738)	(187.0, 31.105673996807678)	(192.0, 31.82943443031283)	(197.0, 29.42889763219162)	(202.0, 29.45069692256077)	(207.0, 29.55127947052185)	(212.0, 29.688063358444914)	(217.0, 28.622132755868687)	(222.0, 29.287294761135)	(227.0, 28.491841278555523)	(232.0, 29.032525086162195)	(237.0, 27.45769359807241)	(242.0, 26.12815445145942)	(247.0, 25.80548998078506)	(250.5, 24.249336627321803)
