Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
MRG2-IT-MF_S7_L001_R1_001	(20.0, 1.0)	(21.0, 5.0)	(22.0, 29.0)	(23.0, 101.0)	(24.0, 254.0)	(25.0, 553.0)	(26.0, 1141.0)	(27.0, 2357.0)	(28.0, 4146.0)	(29.0, 6550.0)	(30.0, 9480.0)	(31.0, 13855.0)	(32.0, 21769.0)	(33.0, 52080.0)	(34.0, 183913.0)	(35.0, 155259.0)	(36.0, 4526.0)									
MRG2-IT-MF_S7_L001_R2_001	(12.0, 4.0)	(13.0, 65.0)	(14.0, 98.0)	(15.0, 65.0)	(16.0, 66.0)	(17.0, 73.0)	(18.0, 73.0)	(19.0, 102.0)	(20.0, 134.0)	(21.0, 230.0)	(22.0, 444.0)	(23.0, 705.0)	(24.0, 1011.0)	(25.0, 1601.0)	(26.0, 2493.0)	(27.0, 3669.0)	(28.0, 5189.0)	(29.0, 7435.0)	(30.0, 10308.0)	(31.0, 14784.0)	(32.0, 24214.0)	(33.0, 53918.0)	(34.0, 134408.0)	(35.0, 166425.0)	(36.0, 28460.0)	(37.0, 45.0)
MRG3-IT-MF_S8_L001_R1_001	(22.0, 5.0)	(23.0, 8.0)	(24.0, 33.0)	(25.0, 88.0)	(26.0, 154.0)	(27.0, 325.0)	(28.0, 581.0)	(29.0, 978.0)	(30.0, 1356.0)	(31.0, 2058.0)	(32.0, 3392.0)	(33.0, 9068.0)	(34.0, 25746.0)	(35.0, 13042.0)	(36.0, 231.0)											
MRG3-IT-MF_S8_L001_R2_001	(13.0, 3.0)	(14.0, 6.0)	(15.0, 7.0)	(16.0, 3.0)	(17.0, 10.0)	(18.0, 9.0)	(19.0, 10.0)	(20.0, 13.0)	(21.0, 23.0)	(22.0, 51.0)	(23.0, 72.0)	(24.0, 93.0)	(25.0, 141.0)	(26.0, 252.0)	(27.0, 362.0)	(28.0, 507.0)	(29.0, 892.0)	(30.0, 1226.0)	(31.0, 1978.0)	(32.0, 3386.0)	(33.0, 7897.0)	(34.0, 19456.0)	(35.0, 18853.0)	(36.0, 1808.0)	(37.0, 7.0)	
MRG4-IT-MF_S9_L001_R1_001	(21.0, 1.0)	(22.0, 8.0)	(23.0, 15.0)	(24.0, 28.0)	(25.0, 86.0)	(26.0, 216.0)	(27.0, 344.0)	(28.0, 619.0)	(29.0, 1053.0)	(30.0, 1525.0)	(31.0, 2215.0)	(32.0, 3435.0)	(33.0, 8322.0)	(34.0, 28830.0)	(35.0, 24707.0)	(36.0, 1123.0)										
MRG4-IT-MF_S9_L001_R2_001	(13.0, 11.0)	(14.0, 9.0)	(15.0, 8.0)	(16.0, 5.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 13.0)	(20.0, 17.0)	(21.0, 35.0)	(22.0, 68.0)	(23.0, 87.0)	(24.0, 146.0)	(25.0, 216.0)	(26.0, 354.0)	(27.0, 527.0)	(28.0, 817.0)	(29.0, 1117.0)	(30.0, 1596.0)	(31.0, 2276.0)	(32.0, 3635.0)	(33.0, 8288.0)	(34.0, 21991.0)	(35.0, 26947.0)	(36.0, 4343.0)	(37.0, 8.0)	
MRG5-IT-MF_S10_L001_R1_001	(21.0, 1.0)	(22.0, 4.0)	(23.0, 9.0)	(24.0, 27.0)	(25.0, 50.0)	(26.0, 104.0)	(27.0, 190.0)	(28.0, 348.0)	(29.0, 584.0)	(30.0, 947.0)	(31.0, 1659.0)	(32.0, 3735.0)	(33.0, 8115.0)	(34.0, 6145.0)	(35.0, 742.0)	(36.0, 3.0)										
MRG5-IT-MF_S10_L001_R2_001	(14.0, 5.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 7.0)	(18.0, 8.0)	(19.0, 2.0)	(20.0, 14.0)	(21.0, 18.0)	(22.0, 31.0)	(23.0, 29.0)	(24.0, 39.0)	(25.0, 55.0)	(26.0, 44.0)	(27.0, 75.0)	(28.0, 125.0)	(29.0, 204.0)	(30.0, 320.0)	(31.0, 636.0)	(32.0, 1350.0)	(33.0, 3579.0)	(34.0, 9136.0)	(35.0, 6733.0)	(36.0, 248.0)			
WML1-IT-MF_S11_L001_R1_001	(18.0, 1.0)	(19.0, 3.0)	(20.0, 9.0)	(21.0, 59.0)	(22.0, 145.0)	(23.0, 93.0)	(24.0, 65.0)	(25.0, 104.0)	(26.0, 153.0)	(27.0, 283.0)	(28.0, 451.0)	(29.0, 690.0)	(30.0, 977.0)	(31.0, 1366.0)	(32.0, 1845.0)	(33.0, 3752.0)	(34.0, 9705.0)	(35.0, 9154.0)	(36.0, 467.0)							
WML1-IT-MF_S11_L001_R2_001	(13.0, 2.0)	(14.0, 5.0)	(15.0, 5.0)	(16.0, 3.0)	(17.0, 8.0)	(18.0, 7.0)	(19.0, 4.0)	(20.0, 8.0)	(21.0, 11.0)	(22.0, 26.0)	(23.0, 36.0)	(24.0, 63.0)	(25.0, 86.0)	(26.0, 145.0)	(27.0, 190.0)	(28.0, 281.0)	(29.0, 521.0)	(30.0, 705.0)	(31.0, 1007.0)	(32.0, 1719.0)	(33.0, 3624.0)	(34.0, 8213.0)	(35.0, 10974.0)	(36.0, 1676.0)	(37.0, 3.0)	
WML2-IT-MF_S12_L001_R1_001	(21.0, 2.0)	(22.0, 3.0)	(23.0, 12.0)	(24.0, 17.0)	(25.0, 47.0)	(26.0, 125.0)	(27.0, 190.0)	(28.0, 359.0)	(29.0, 481.0)	(30.0, 706.0)	(31.0, 986.0)	(32.0, 1578.0)	(33.0, 3745.0)	(34.0, 11175.0)	(35.0, 9478.0)	(36.0, 503.0)										
WML2-IT-MF_S12_L001_R2_001	(13.0, 5.0)	(14.0, 7.0)	(15.0, 8.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 6.0)	(19.0, 9.0)	(20.0, 11.0)	(21.0, 18.0)	(22.0, 28.0)	(23.0, 60.0)	(24.0, 99.0)	(25.0, 136.0)	(26.0, 203.0)	(27.0, 314.0)	(28.0, 396.0)	(29.0, 592.0)	(30.0, 840.0)	(31.0, 1321.0)	(32.0, 2362.0)	(33.0, 4782.0)	(34.0, 9109.0)	(35.0, 8032.0)	(36.0, 1055.0)	(37.0, 5.0)	
WML3-IT-MF_S13_L001_R1_001	(20.0, 1.0)	(21.0, 7.0)	(22.0, 28.0)	(23.0, 73.0)	(24.0, 172.0)	(25.0, 382.0)	(26.0, 699.0)	(27.0, 1407.0)	(28.0, 2293.0)	(29.0, 3622.0)	(30.0, 5827.0)	(31.0, 10990.0)	(32.0, 21827.0)	(33.0, 32497.0)	(34.0, 16705.0)	(35.0, 1803.0)	(36.0, 28.0)									
WML3-IT-MF_S13_L001_R2_001	(13.0, 6.0)	(14.0, 6.0)	(15.0, 18.0)	(16.0, 12.0)	(17.0, 16.0)	(18.0, 17.0)	(19.0, 19.0)	(20.0, 31.0)	(21.0, 49.0)	(22.0, 93.0)	(23.0, 109.0)	(24.0, 107.0)	(25.0, 114.0)	(26.0, 147.0)	(27.0, 207.0)	(28.0, 304.0)	(29.0, 545.0)	(30.0, 957.0)	(31.0, 1860.0)	(32.0, 3965.0)	(33.0, 11135.0)	(34.0, 31286.0)	(35.0, 41222.0)	(36.0, 6122.0)	(37.0, 14.0)	
WML4-IT-MF_S14_L001_R1_001	(19.0, 2.0)	(20.0, 25.0)	(21.0, 98.0)	(22.0, 227.0)	(23.0, 553.0)	(24.0, 1204.0)	(25.0, 2773.0)	(26.0, 5939.0)	(27.0, 12418.0)	(28.0, 22122.0)	(29.0, 34091.0)	(30.0, 43476.0)	(31.0, 44589.0)	(32.0, 27656.0)	(33.0, 9102.0)	(34.0, 2771.0)	(35.0, 884.0)	(36.0, 46.0)								
WML4-IT-MF_S14_L001_R2_001	(13.0, 15.0)	(14.0, 43.0)	(15.0, 46.0)	(16.0, 57.0)	(17.0, 51.0)	(18.0, 84.0)	(19.0, 91.0)	(20.0, 132.0)	(21.0, 234.0)	(22.0, 353.0)	(23.0, 422.0)	(24.0, 403.0)	(25.0, 392.0)	(26.0, 466.0)	(27.0, 668.0)	(28.0, 878.0)	(29.0, 1381.0)	(30.0, 2304.0)	(31.0, 3630.0)	(32.0, 6295.0)	(33.0, 18585.0)	(34.0, 66577.0)	(35.0, 92026.0)	(36.0, 12789.0)	(37.0, 54.0)	
WML5-IT-MF_S15_L001_R1_001	(19.0, 1.0)	(20.0, 2.0)	(21.0, 9.0)	(22.0, 40.0)	(23.0, 63.0)	(24.0, 142.0)	(25.0, 230.0)	(26.0, 433.0)	(27.0, 680.0)	(28.0, 953.0)	(29.0, 1194.0)	(30.0, 1510.0)	(31.0, 2479.0)	(32.0, 4179.0)	(33.0, 3636.0)	(34.0, 902.0)	(35.0, 73.0)									
WML5-IT-MF_S15_L001_R2_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 10.0)	(21.0, 18.0)	(22.0, 11.0)	(23.0, 23.0)	(24.0, 23.0)	(25.0, 19.0)	(26.0, 14.0)	(27.0, 29.0)	(28.0, 40.0)	(29.0, 78.0)	(30.0, 182.0)	(31.0, 337.0)	(32.0, 802.0)	(33.0, 2485.0)	(34.0, 6521.0)	(35.0, 5530.0)	(36.0, 393.0)	(37.0, 1.0)				
XB-IT-MF_S16_L001_R1_001	(19.0, 4.0)	(20.0, 6.0)	(21.0, 17.0)	(22.0, 38.0)	(23.0, 75.0)	(24.0, 114.0)	(25.0, 200.0)	(26.0, 303.0)	(27.0, 517.0)	(28.0, 772.0)	(29.0, 1204.0)	(30.0, 1766.0)	(31.0, 2574.0)	(32.0, 4122.0)	(33.0, 9540.0)	(34.0, 28235.0)	(35.0, 23302.0)	(36.0, 682.0)								
XB-IT-MF_S16_L001_R2_001	(14.0, 7.0)	(15.0, 6.0)	(16.0, 8.0)	(17.0, 12.0)	(18.0, 11.0)	(19.0, 20.0)	(20.0, 32.0)	(21.0, 54.0)	(22.0, 91.0)	(23.0, 171.0)	(24.0, 280.0)	(25.0, 379.0)	(26.0, 554.0)	(27.0, 808.0)	(28.0, 1188.0)	(29.0, 1757.0)	(30.0, 2305.0)	(31.0, 3454.0)	(32.0, 5319.0)	(33.0, 10688.0)	(34.0, 23506.0)	(35.0, 20671.0)	(36.0, 2145.0)	(37.0, 5.0)		
