Sample	Pairs passing filters	Filtered pairs (uncategorised)
NTC	122	139
PAC	233665	2873
Site1_1	113574	7313
Site1_2	345542	21815
Site1_3	234783	14069
Site2_1	133725	5614
Site2_2	107793	4590
Site2_3	268201	14641
Site3_1	4	nan
Site3_2	225817	10514
Site3_3	125462	5768
Site4_1	135554	7206
Site4_2	22132	490
Site4_3	373970	15126
XB	6827	6758
