task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
57	ff/03a006	39793	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site2_1)	COMPLETED	0	2024-09-04 12:17:48.946	32.7s	32s	102.2%	1.1 GB	2.4 GB	62.1 MB	10.7 MB
52	e8/502cf7	40403	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (NTC)	COMPLETED	0	2024-09-04 12:18:21.724	13.5s	13s	106.7%	581.9 MB	1.9 GB	39.8 MB	9.9 KB
60	53/49c945	40904	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site3_1)	COMPLETED	0	2024-09-04 12:18:35.241	13.7s	13s	105.3%	582.1 MB	1.9 GB	39.8 MB	2.3 KB
61	61/88478a	41397	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site3_2)	COMPLETED	0	2024-09-04 12:18:48.932	47.8s	47s	101.7%	1.2 GB	2.5 GB	72.9 MB	17.1 MB
56	66/96ae39	42088	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site1_3)	COMPLETED	0	2024-09-04 12:19:36.773	50s	49s	101.5%	1.2 GB	2.5 GB	76.2 MB	19 MB
64	79/a0db57	42968	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site4_2)	COMPLETED	0	2024-09-04 12:20:26.778	17.2s	16s	103.9%	802.3 MB	2.2 GB	43.4 MB	1.7 MB
62	c2/671801	43490	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site3_3)	COMPLETED	0	2024-09-04 12:20:43.975	32.5s	32s	102.3%	1.1 GB	2.4 GB	61.3 MB	10.1 MB
63	6a/bb5442	44103	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site4_1)	COMPLETED	0	2024-09-04 12:21:16.531	36.5s	36s	102.0%	1.1 GB	2.4 GB	65.3 MB	12.2 MB
65	4e/09968a	44824	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (Site4_3)	COMPLETED	0	2024-09-04 12:21:53.044	1m 15s	1m 14s	100.2%	1.4 GB	2.8 GB	112.8 MB	34.5 MB
66	4b/011d99	45684	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_FILTNTRIM (XB)	COMPLETED	0	2024-09-04 12:23:08.055	14.1s	13s	105.0%	712.2 MB	2 GB	40.5 MB	407.8 KB
68	7c/29abbb	46315	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (RV)	COMPLETED	0	2024-09-04 12:23:22.320	1m 4s	1m 4s	102.2%	2 GB	4.7 GB	219.5 MB	2 MB
67	f7/da2dd3	46324	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY2 (FW)	COMPLETED	0	2024-09-04 12:23:22.367	1m 5s	1m 5s	103.1%	1.9 GB	4.7 GB	238.3 MB	2.1 MB
69	de/40d62e	46360	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (1)	COMPLETED	0	2024-09-04 12:23:22.423	5m 29s	5m 28s	295.5%	1.8 GB	3.6 GB	91.6 MB	1.2 MB
70	ab/ee805f	2118	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (1)	COMPLETED	0	2024-09-04 12:28:51.999	11m 21s	11m 20s	270.5%	2.2 GB	4.1 GB	598 MB	26.4 MB
71	83/92380f	39113	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (1)	COMPLETED	0	2024-09-04 12:40:13.353	41s	41s	474.3%	716.8 MB	2.3 GB	40.1 MB	412.9 KB
72	0b/fb7ad4	39775	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_STATS (1)	COMPLETED	0	2024-09-04 12:40:54.527	15.8s	15s	104.5%	580.2 MB	1.9 GB	66 MB	1.4 KB
73	ab/3c019d	40353	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE	COMPLETED	0	2024-09-04 12:41:11.889	11.2s	10s	97.6%	587.4 MB	1.8 GB	35.9 MB	5.7 MB
74	2e/dda1f2	40903	NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_STD (1)	COMPLETED	0	2024-09-04 12:41:23.185	1.4s	1s	244.2%	1.3 MB	4.3 MB	5.9 MB	1.8 KB
75	3b/e87325	41075	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAP (ASV_seqs.fasta)	COMPLETED	0	2024-09-04 12:41:23.812	3m 9s	3m 8s	193.9%	67.9 MB	243.5 MB	65.1 MB	73.3 MB
76	2e/6426d7	46959	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAPSUMMARY	COMPLETED	0	2024-09-04 12:44:33.468	2.1s	0ms	70.0%	1.2 MB	11 MB	3.6 MB	536 KB
77	a0/07f706	47201	NFCORE_AMPLISEQ:AMPLISEQ:MULTIQC	COMPLETED	0	2024-09-04 12:44:37.326	56.6s	53.5s	45.4%	730.5 MB	10.8 GB	98.3 MB	48 MB
78	53/108ec0	1627	NFCORE_AMPLISEQ:AMPLISEQ:SUMMARY_REPORT (1)	COMPLETED	0	2024-09-04 12:45:36.378	9.5s	8.1s	89.3%	263.1 MB	1 TB	26.8 MB	3.9 MB
