Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
NTC_1	33.71647509578544	3.8314176245210727	4.597701149425287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.8544061302682	0.0	0.0	0.0	0.0	0.0
NTC_2	8.812260536398467	3.065134099616858	1.1494252873563218	1.532567049808429	1.9157088122605364	0.0	0.0	0.0	0.0	0.0	37.547892720306514	45.97701149425287	0.0	0.0	0.0	0.0
PAC_1	0.574537706415037	0.14796776839239362	0.08117089008954163	0.06087816756715623	0.0422765052549696	0.04058544504477082	0.014796776839239361	0.023674842942782978	0.045658625675367166	0.8205869669989599	0.8015625396342237	2.6194522655979164	0.9330424709771792	0.8239690874193576	0.0	92.9698399411511
PAC_2	1.1647177197744127	0.1276750458700082	0.07609770945894528	0.04904074609576474	0.0317073789412272	0.02029272252238541	0.017756132207087234	0.02029272252238541	0.022829312837683583	0.9761645063372482	0.8738553636202218	2.2372726580929916	0.7216599447023311	0.42783823318029235	0.0	93.23279980383703
Site1_1_1	3.14094981263494	1.0108613829444026	0.6402673571186315	0.4169182790539926	0.40120112170870315	0.29283545790697096	0.22583073448757932	0.30441652121402635	0.3796934327098861	5.049343601876132	3.320456293894298	8.335056705849265	7.9363372405635015	18.812610123503767	11.253484659227214	38.47973727530669
Site1_1_2	1.8513156915135622	0.7593868654197722	0.4640697510898608	0.3639762753645967	0.32261533498225614	0.2878721450610901	0.2605739244087453	0.2647100184469794	0.23823901660228147	5.056788571144954	2.713277689081539	8.954643592776726	5.608543515845376	18.89781366069139	16.627098033700893	37.32907591386998
Site1_2_1	1.446821484278236	0.5161191974019823	0.30297503518375857	0.2373712764422619	0.1959946319248034	0.16006228273858944	0.11242469859019971	0.11759677915488204	0.11269691335676195	2.264826857797728	1.6893648412851803	6.1686588250666246	3.1195812248031207	12.308462884877654	6.517365941032837	64.72967712606538
Site1_2_2	2.030722158554213	0.5106749020707377	0.33482416287153915	0.25805959870099116	0.21504966558415928	0.16822872573545625	0.1505347659089115	0.12412993355237548	0.13964617524642242	2.642388739019537	2.2242668575799565	5.317443250026541	3.191718137942111	13.419099132451539	8.893256423587955	60.379957371167556
Site1_3_1	1.507723466156591	0.5521354057833572	0.38818253419703275	0.2523588317554209	0.22101490042274125	0.17359715815022583	0.14908459646697636	0.10287239001494865	0.13019786861266938	2.7650973269252406	1.6519859193416166	7.067252824972273	4.30818317714947	16.926928455467507	9.149615032227992	54.653770112355936
Site1_3_2	2.248324305209522	0.6373266037644866	0.41470432224776177	0.3118319322328131	0.19690418401298762	0.21217430440583157	0.1518975133814476	0.11894620095478436	0.12658126115120635	3.509314773439635	2.0196743445903587	6.6593798723739415	4.49705045569254	13.536158037709162	10.181151849291949	55.17858003954158
Site2_1_1	3.4649308520945317	0.9846489496838645	0.6351416329957872	0.44208728353153104	0.2978347770545217	0.2755868780456297	0.29137570960032727	0.22965573170469142	0.21960829344261118	4.4402500376778935	3.3795276268668495	8.769260580311327	5.978225765937749	11.049311391641966	8.447024881763182	51.095529607647535
Site2_1_2	1.6377324367190809	0.5698332842922657	0.3853910247669353	0.3502249908496544	0.2834812938229785	0.22391433841207417	0.2562096756830464	0.18372458536375313	0.21960829344261118	4.115861316645017	2.7759636569804576	8.307078420255635	4.770380152003387	14.58457431157106	9.775439754842505	51.56058246434954
Site2_2_1	3.327015651833462	0.9681179537830455	0.6166413069592376	0.35592571830259023	0.3069859320359841	0.2829609460505592	0.19308970217915522	0.2847405746420722	0.16016657323616562	4.489113122091419	3.392861909719441	10.547858661897262	7.370331811750888	8.98089568707011	6.528567487965262	52.19472696048335
Site2_2_2	1.788526734470516	0.6086329782974294	0.437788633512186	0.32033314647233124	0.2980877890784193	0.2669442887269427	0.2927489033038805	0.24914800281181318	0.25626651717786497	4.686651895749358	3.5530284829556074	8.49594689588283	5.656549478123916	14.576937793082584	6.61487947465364	51.89752898570068
Site2_3_1	1.6609980130249398	0.5628584156525551	0.3691106695610977	0.2658728194539708	0.20859702590138662	0.17607003203201788	0.11879423847943374	0.14707858097453702	0.16864539212705326	3.1593610567030352	1.9533874035680698	7.614852108244179	4.082844839168157	17.72897943021192	5.34821561154284	56.43433436335481
Site2_3_2	2.207239377461622	0.6243768605794048	0.42850778880081464	0.26728703657872593	0.23157805417865804	0.2100112430261418	0.2103647973073306	0.15839231797257833	0.13046152975866385	3.645144639056434	2.3249729530974887	6.837032689628838	5.237906675811938	14.621590852843639	10.691481463149037	52.17365172074868
Site3_1_1	50.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Site3_1_2	25.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
